p,d,q,MAPE
2,7,5,4446.160655965965
2,7,6,4152.716805086944
2,7,7,1949.1637272435057
2,7,8,3868.9698391454613
2,7,9,3964.6355934726594
2,7,10,4210.2151894889585
2,7,11,3695.418771052142
2,7,12,5084.83982136809
2,7,13,3366.974449447772
2,7,14,585.4648872867405
2,7,15,2759.898037960088
2,7,16,2741.066959494438
2,7,17,3081.6418094351507
2,7,18,708.2053656975949
2,7,19,21002905674.88092
2,8,1,245867.29712607994
2,8,2,100285.00374695226
2,8,3,31985.325675480824
2,8,4,18079.67753325357
2,8,5,15836.017865367472
2,8,6,29670.396462554363
2,8,7,38490.150644479145
2,8,8,12870.104718206867
2,8,9,15489.941697312675
2,8,10,18683.456128962378
2,8,11,29486.0765249528
2,8,12,27126.99644729803
2,8,13,32647.228898839414
2,8,14,41365.30847860458
2,8,15,33474.829645885475
2,8,16,37728.27175388139
2,8,17,25301.23157969414
2,8,18,6604.28778397679
2,8,19,81632.55116849169
2,9,1,285030.186235074
2,9,2,285999.94266984734
2,9,3,174606.35565781692
2,9,4,156388.57430040208
2,9,5,126472.32190534803
2,9,6,168310.82818022557
2,9,7,135771.30482613432
2,9,8,127454.19051719194
2,9,9,131760.6111212699
2,9,10,133118.91779277445
2,9,11,164184.0863358212
2,9,12,155082.0143569418
2,9,13,167704.29976224023
2,9,14,170674.37951108383
2,9,15,173721.384310158
2,9,16,163308.19069868058
2,9,17,108248.98265216956
2,9,18,43097.51784342496
2,9,19,219774.32659669867
2,10,1,1878840.7865745476
2,10,2,309970.41732034
2,10,3,482539.2067638096
2,10,4,456788.0871847566
2,10,5,381072.94456850324
2,10,6,351122.8055334537
2,10,7,388069.2745795492
2,10,8,352685.01619270124
2,10,9,363119.09477606125
2,10,10,402834.5622666171
2,10,11,378362.3807954614
2,10,12,405307.5581627934
2,10,13,408766.4556403091
2,10,14,418002.060348974
2,10,15,423434.80499194236
2,10,16,426894.80506567564
2,10,17,150829.3212624592
2,10,18,176979648913715.8
2,10,19,443270.7138232025
2,11,1,15498533.415087178
2,11,2,2206003.208891628
2,11,3,386378.8581656514
2,11,4,879619.567046646
2,11,5,845826.8104080894
2,11,6,776640.7823644364
2,11,7,731521.5263464832
